cis_area_code_20,ons_household_id,postcode,lower_super_output_area_code_11,country_code_12,country_name_12,tranche_number_indicator,sample_source,sample_addressbase_indicator,date _sample_created,batch_number,file_name,household_level_designweight_swab,household_level_designweight_antibodies,region_code,local_authority_unity_authority_code,oa11/ oac11,middle_super_output_area_code_11,rural_urban_classification_11,index_multiple_deprivation,LSOA11NM,RGN19CD,sample_new_previous,enrolement_date,lsoa_11,cis20cd,ctry12,ctry_name12,tranche,tranche_eligible_households,tranche_factor,number_of_households_population_by_cis,number_of_households_population_by_country,number_eligible_household_sample,raw_design_weights_swab,sum_raw_design_weight_swab_cis,standard_deviation_raw_design_weight_swab,mean_raw_design_weight_swab,coefficient_variation_design_weight_swab,design_effect_weight_swab,effective_sample_size_design_weight_swab
N/A,7,E,N/A,W,northern ireland,,LFS,0,14/11/2021,1,sample_direct_eng_wc15112021_4.csv,,,N99999999,N09000003,N00001131,N99999999,,49,,,previous,18/10/2021,S5,J4,N,Northern Ireland,2,Yes,1.0,,,2,,,,,,,0.0
N/A,8,D,N/A,S,northern ireland,,AB,1,15/11/2021,3,sample_direct_eng_wc15112021_4.csv,,,N99999999,N09000003,N00001352,N99999999,,25,,,previous,18/10/2021,S6,J2,W,Wales,2,Yes,1.0,,,2,,,,,,,0.0
N/A,4,D,N/A,S,scotland,,LFS,0,14/11/2021,4,sample_direct_eng_wc15112021_4.csv,,,S99999999,S12000034,S00091321,S02001296,6,5069,,,new,18/10/2021,S3,J3,S,Scotland,2,Yes,1.0,,,2,,,,,,,0.0
N/A,9,C,N/A,E,northern ireland,,AB,1,15/11/2021,5,sample_direct_eng_wc15112021_4.csv,,,N99999999,N09000003,N00001352,N99999999,,25,,,new,18/10/2021,S7,J1,E,Wales,2,Yes,1.0,,,2,,,,,,,0.0
J3,5,E,S3,N,scotland,,AB,1,14/11/2021,2,sample_direct_eng_wc15112021_4.csv,,,S99999999,S12000034,S00092401,S02001296,6,5069,Culter -07,S902000003,previous,18/10/2021,S4,J5,S,Scotland,2,Yes,1.0,1.0,2.0,3,,10.5,1.7677669529663689,5.25,0.3367175148507369,1.1133786848072562,2.694501018329939
J3,6,F,S3,E,scotland,2,LFS,0,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,4,4,S99999999,S12000033,S00090381,S02001236,3,6253,,,previous,18/10/2021,S2,J6,N,Northern Ireland,2,Yes,1.0,1.0,2.0,3,4,10.5,1.7677669529663689,5.25,0.3367175148507369,1.1133786848072562,2.694501018329939
J3,8,C,S1,S,england,2,LFS,0,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,6.5,6.5,E12000008,E07000091,E00116842,E02004794,F1,13619,,,previous,18/10/2021,S6,J2,W,Wales,2,Yes,1.0,1.0,2.0,3,6.5,10.5,1.7677669529663689,5.25,0.3367175148507369,1.1133786848072562,2.694501018329939
J5,1,A,S1,W,wales,2,AB,1,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,3.5,3.5,W99999999,W06000015,W00010121,W02000398,C1,999,,,previous,18/10/2021,S1,J1,E,England,2,Yes,1.0,1.0,4.0,3,3.5,7.0,0.0,3.5,0.0,1.0,3.0
J5,2,B,S2,N,wales,2,LFS,0,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,3.5,3.5,W99999999,W06000015,W00010121,W02000398,C1,999,,,previous,18/10/2021,S2,J2,E,England,2,Yes,1.0,1.0,4.0,3,3.5,7.0,0.0,3.5,0.0,1.0,3.0
J5,6,F,S5,N,scotland,,AB,1,14/11/2021,3,sample_direct_eng_wc15112021_4.csv,,,S99999999,S12000034,S00092401,S02001296,6,5069,Another place,N92000001,previous,18/10/2021,S2,J6,N,Northern Ireland,2,Yes,1.0,1.0,4.0,3,,7.0,0.0,3.5,0.0,1.0,3.0
J5,2,B,N/A,E,england,,AB,1,13/11/2021,3,sample_direct_eng_wc15112021_4.csv,,,E12000002,E06000008,E00063735,E02002620,C1,7612,,,new,18/10/2021,S2,J2,E,England,2,Yes,1.0,1.0,4.0,1,1.0,1.0,,1.0,,,0.0
J1,1,A,S1,E,england,,LFS,0,13/11/2021,2,sample_direct_eng_wc15112021_4.csv,,,E12000002,E06000008,E00063413,E02002622,C1,3369,City of London 001A,E12000007,previous,18/10/2021,S1,J1,E,England,2,Yes,1.0,2.0,4.0,2,,12.0,0.0,6.0,0.0,1.0,2.0
J1,1,A,S1,E,england,,LFS,0,13/11/2021,2,sample_direct_eng_wc15112021_4.csv,,,E12000002,E06000008,E00063413,E02002622,C1,3369,City of London 001A,E12000007,previous,18/10/2021,S1,J1,E,England,2,Yes,1.0,2.0,2.0,2,,12.0,0.0,6.0,0.0,1.0,2.0
J1,9,B,S4,E,england,2,AB,1,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,6,6,E12000008,E07000091,E00116840,E02004794,D1,31052,,,previous,18/10/2021,S7,J1,E,Wales,2,Yes,1.0,2.0,4.0,2,6,12.0,0.0,6.0,0.0,1.0,2.0
J1,9,B,S4,E,england,2,AB,1,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,6,6,E12000008,E07000091,E00116840,E02004794,D1,31052,,,previous,18/10/2021,S7,J1,E,Wales,2,Yes,1.0,2.0,2.0,2,6,12.0,0.0,6.0,0.0,1.0,2.0
J2,4,D,S4,N,northern ireland,2,LFS,0,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,6,6,N99999999,N09000003,N00001155,N99999999,,29,,,previous,18/10/2021,S3,J3,S,Scotland,2,Yes,1.0,1.0,4.0,3,6,16.0,1.1547005383792517,5.333333333333333,0.2165063509461097,1.046875,2.8656716417910446
J2,7,A,S5,N,scotland,2,AB,1,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,4,4,S99999999,S12000033,S00090399,S02001237,3,6715,,,previous,18/10/2021,S5,J4,N,Northern Ireland,2,Yes,1.0,1.0,4.0,3,4,16.0,1.1547005383792517,5.333333333333333,0.2165063509461097,1.046875,2.8656716417910446
J2,3,C,S2,E,england,,AB,1,13/11/2021,1,sample_direct_eng_wc15112021_4.csv,,,E12000002,E06000008,E00063401,E02002621,C1,2666,Isle of Anglesey 007A,W92000004,previous,18/10/2021,S3,J1,E,England,2,Yes,1.0,1.0,4.0,3,,16.0,1.1547005383792517,5.333333333333333,0.2165063509461097,1.046875,2.8656716417910446
J2,3,C,S2,N,wales,2,AB,1,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,6,6,W99999999,W06000015,W00010121,W02000398,C1,999,,,previous,18/10/2021,S3,J1,E,England,2,Yes,1.0,1.0,4.0,3,6,16.0,1.1547005383792517,5.333333333333333,0.2165063509461097,1.046875,2.8656716417910446
J4,5,E,S3,E,northern ireland,2,AB,1,15/11/2021,4,sample_direct_eng_wc15112021_4.csv,4,4,N99999999,N09000003,N00001155,N99999999,,29,,,previous,18/10/2021,S4,J5,S,Scotland,2,Yes,1.0,1.0,4.0,1,4,4.0,,4.0,,,0.0
