laua,rgn,ctry,ctry_name,surge,m0,m25,f0,f25
N09000003,N99999999,N92000002,Northern Ireland,,334,346,,604.5213708
N09000003,N99999999,N92000002,Northern Ireland,,468,449,,88.12197785
N09000004,N99999999,N92000002,Northern Ireland,,513,439,,530.2306306
E06000001,E12000001,E92000001,England,,576,512,,126.6188443
E06000002,E12000001,E92000001,England,,984.9199157,1006,,493.6140762
E06000003,E12000001,E92000001,England,,726,755,,1530.113916
W06000001,W99999999,W92000004,Wales,,349,333,,396.5347087
W06000002,W99999999,W92000004,Wales,,612.360515,612,,1196.549768
W06000003,W99999999,W92000004,Wales,,552.0107335,573.0465116,,1406.389562
W06000004,W99999999,W92000004,Wales,,508.0694698,537,,351.10133
W06000005,W99999999,W92000004,Wales,,833,827,,2480.652093
S12000008,S99999999,S92000003,Scotland,,671.8524403,697.390691,,862.4606535
S12000010,S99999999,S92000003,Scotland,,558.829564,522.6814978,,484.3186683
S12000011,S99999999,S92000003,Scotland,,453.2125183,509.115384,,949.0701877
S12000013,S99999999,S92000003,Scotland,,123.0232389,106.1571497,,493.4904287
